event,n_events,signal,amplitude,consistency,lead_lag_ms,score
cold_to_hot,741,random_walk_index_high,2.1243849090645885,0.8906882591093117,0.0,1.8921646963328318
cold_to_hot,741,random_walk_index_low,1.5306007887934807,0.9554655870445344,0.0,1.4624363811953904
cold_to_hot,741,swing_index,0.6959029575474224,0.8137651821862348,0.0,0.5663015970325178
cold_to_hot,741,schaff_trend_cycle,0.7941954972198604,0.6680161943319838,400.053742,0.5305354536084087
cold_to_hot,741,ichimoku_chikou,0.5067140138864747,0.9392712550607287,0.0,0.47594190778000867
cold_to_hot,741,interval_access_rate,0.5067140138864747,0.9392712550607287,0.0,0.47594190778000867
cold_to_hot,741,linear_reg_slope,0.6505307123366048,0.6680161943319838,400.053742,0.4345650507511732
cold_to_hot,741,schaff_trend_cycle_signal,0.6754061117596055,0.6396761133603239,600.080613,0.43204115651019304
cold_to_hot,741,plus_directional_indicator,0.39192865349682915,0.8029689608636977,0.0,0.31470654363105716
cold_to_hot,741,aroon_oscillator,0.5924530428987533,0.5114709851551957,200.026871,0.3030225415096188
cold_to_hot,741,parabolic_sar_direction,0.6158153758042955,0.45479082321187586,200.026871,0.28006718170856626
cold_to_hot,741,accum_swing_index,0.2764047483926701,0.9460188933873145,0.0,0.26148411420143286
cold_to_hot,741,avg_directional_index,0.3889060089697769,0.5681511470985156,400.053742,0.22095739510968432
cold_to_hot,741,aroon_up,0.3676514766593153,0.4669365721997301,200.026871,0.17166992027546976
cold_to_hot,741,range_action_verification_index,0.33738168617006475,0.4885290148448043,600.080613,0.16482074277134068
cold_to_hot,741,system_quality_number,0.2915000480892348,0.5384615384615384,-600.080613,0.1569615643557418
cold_to_hot,741,minus_directional_indicator,0.18830818013706496,0.7489878542510121,-1000.134355,0.14104053977877334
cold_to_hot,741,supertrend_direction,0.4373282039104942,0.27530364372469635,200.026871,0.12039804804013605
cold_to_hot,741,parabolic_sar,0.17980201232798593,0.650472334682861,200.026871,0.11695623473966156
cold_to_hot,741,aroon_down,0.17174563557954858,0.6248313090418354,-1000.134355,0.10731205030139136
cold_to_hot,741,ichimoku_tenkan,0.1820178501290673,0.5748987854251012,200.026871,0.10464184096488889
cold_to_hot,741,linear_reg_intercept,0.13895170533020157,0.6693657219973009,400.053742,0.09300950856110658
cold_to_hot,741,supertrend,0.200953192064587,0.46153846153846156,600.080613,0.09274762710673247
cold_to_hot,741,ichimoku_senkou_a,0.17607894408235147,0.5263157894736842,200.026871,0.0926731284643955
cold_to_hot,741,recency_weighted_frequency,0.13029021812135128,0.6086369770580297,600.080613,0.07929944449761056
cold_to_hot,741,inter_access_variance_ms2,0.15351549825971533,0.5114709851551957,-1000.134355,0.07851872313148733
cold_to_hot,741,triple_exp_rate_of_change,0.11264491601793167,0.6261808367071525,600.080613,0.07053608776291538
cold_to_hot,741,ichimoku_kijun,0.16902952056901438,0.40620782726045884,200.026871,0.06866111429321636
cold_to_hot,741,ichimoku_senkou_b,0.17148878091089015,0.2874493927125506,200.026871,0.04929434592985101
cold_to_hot,741,vertical_horizontal_filter,0.04638486361372385,0.6275303643724697,-1000.134355,0.029107910364887437
