event,n_events,signal,amplitude,consistency,lead_lag_ms,score
cold_to_hot,3296,rwi_high,3.2350887807855115,0.8856189320388349,0,2.8650558710900813
cold_to_hot,3296,si,2.863512698578828,0.8844053398058253,0,2.5325059212249044
cold_to_hot,3296,sqn,2.7599913989269393,0.8470873786407767,0,2.337953879188111
cold_to_hot,3296,stc,1.048884576519209,0.7445388349514563,50,0.7809353006001635
cold_to_hot,3296,asi,0.8684480536728355,0.883495145631068,0,0.7672696396526993
cold_to_hot,3296,stc_signal,0.9955379350005464,0.6996359223300971,100,0.6965141013687075
cold_to_hot,3296,ravi,0.832716912304549,0.7293689320388349,100,0.6073578450182451
cold_to_hot,3296,rwi_low,0.8327296443548018,0.6589805825242718,0,0.548752666122157
cold_to_hot,3296,aroon_up,0.8927870891832712,0.4854368932038835,0,0.43339179086566565
cold_to_hot,3296,aroon_osc,0.8587895252959026,0.4845266990291262,0,0.41610645385241396
cold_to_hot,3296,gapo,0.6787393330442,0.5846480582524272,0,0.396823633123839
cold_to_hot,3296,heat_score,0.41449388504974327,0.9426577669902912,0,0.39072588011212145
cold_to_hot,3296,inter_access_interval_ms,0.8953256220871623,0.35527912621359226,-250,0.3180905046917679
cold_to_hot,3296,plus_di,0.4906315002984236,0.5788834951456311,-250,0.2840184777212962
cold_to_hot,3296,vhf,0.8648299266057111,0.3121966019417476,0,0.26999696434383397
cold_to_hot,3296,psar_dir,0.6062748335252165,0.3901699029126214,0,0.2365501929348994
cold_to_hot,3296,inter_access_variance_ms2,0.38352317699674465,0.5807038834951457,-50,0.22271339829240575
cold_to_hot,3296,adx,0.4413767068345317,0.4651092233009709,0,0.20528837729894936
cold_to_hot,3296,minus_di,0.36836566311217855,0.5342839805825242,-250,0.19681187279749587
cold_to_hot,3296,supertrend_dir,0.570367138980818,0.3434466019417476,0,0.19589065574219844
cold_to_hot,3296,aroon_down,0.49867285255024363,0.17475728155339806,150,0.08714671209615908
cold_to_hot,3296,trix,0.6209272357776865,0.13228155339805825,-250,0.08213721929583474
cold_to_hot,3296,ich_chikou,0.05810322362884684,0.8616504854368932,0,0.05006467084524424
cold_to_hot,3296,interval_access_rate,0.05810322362884684,0.8616504854368932,0,0.05006467084524424
cold_to_hot,3296,ich_tenkan,0.026199170674158258,0.7991504854368932,0,0.020937079962297586
cold_to_hot,3296,linreg_slope,0.024409947727307268,0.7958131067961165,0,0.0194257563375992
cold_to_hot,3296,ich_senkou_a,0.02386980303310192,0.789745145631068,0,0.018851061072561983
cold_to_hot,3296,psar,0.024386711857091556,0.6680825242718447,0,0.01629233601617585
cold_to_hot,3296,ich_kijun,0.02033405361925174,0.7072208737864077,0,0.014380667168226884
cold_to_hot,3296,ich_senkou_b,0.019992905251431593,0.6765776699029126,0,0.013526753249603292
cold_to_hot,3296,supertrend,0.02155186560409358,0.6155946601941747,50,0.01326721338310251
cold_to_hot,3296,recency_weighted_freq,0.011285635273854866,0.9177791262135923,0,0.010357720480403815
cold_to_hot,3296,access_rate,0.006894208233821389,0.964502427184466,0,0.00664948057503586
cold_to_hot,3296,linreg_intercept,0.0035419483643140074,0.743628640776699,0,0.0026338942478560776
hot_to_cold,3308,rwi_high,1.8409137014614612,0.9930471584038694,-100,1.828114120103053
hot_to_cold,3308,sqn,1.6579608931073853,0.9996977025392987,-100,1.6574596957394567
hot_to_cold,3308,si,1.7813145281145502,0.7678355501813785,-100,1.3677566207409182
hot_to_cold,3308,rwi_low,1.0448042544365927,0.8990326481257558,-100,0.939313135639186
hot_to_cold,3308,psar_dir,0.9636426335984569,0.7276299879081015,0,0.7011752778329763
hot_to_cold,3308,stc,0.6267633814848115,0.8431076178960096,-250,0.5284289815481074
hot_to_cold,3308,inter_access_interval_ms,0.6865849374823741,0.7034461910519951,-250,0.4829755591056483
hot_to_cold,3308,vhf,0.5474511567048326,0.8409915356711004,0,0.46040178898211737
hot_to_cold,3308,stc_signal,0.591420183670899,0.7651148730350665,-50,0.4525043787397356
hot_to_cold,3308,minus_di,0.5379260530619561,0.7524183796856106,50,0.4047454492355528
hot_to_cold,3308,supertrend_dir,0.5907113881927112,0.6831922611850061,-100,0.4035694490071123
hot_to_cold,3308,aroon_osc,0.5986746280468229,0.6714026602176542,-100,0.4019517378754515
hot_to_cold,3308,asi,0.4050058584349723,0.7986698911729141,-250,0.323465984880652
hot_to_cold,3308,trix,0.414185166864937,0.5592503022974608,-200,0.23163317977634024
hot_to_cold,3308,ravi,0.3016348183382612,0.5402055622732769,-250,0.16294480664161812
hot_to_cold,3308,plus_di,0.4164544306890603,0.37938331318016927,-100,0.15799586170337684
hot_to_cold,3308,aroon_down,0.5695629914438394,0.24758162031438935,0,0.14101332829277644
hot_to_cold,3308,aroon_up,0.32880120292000115,0.38391777509068925,-250,0.1262326262721891
hot_to_cold,3308,gapo,0.22482130926482524,0.47551390568319224,-250,0.1069056588493259
hot_to_cold,3308,heat_score,0.15812782738183628,0.6695888754534461,-250,0.10588063411450041
hot_to_cold,3308,adx,0.1611210643192802,0.39721886336154777,-250,0.06400032603250731
hot_to_cold,3308,inter_access_variance_ms2,0.11608011175103361,0.49758162031438935,-250,0.05775933009135469
hot_to_cold,3308,ich_chikou,0.05034798654288871,0.9996977025392987,-150,0.05033276647440537
hot_to_cold,3308,interval_access_rate,0.05034798654288871,0.9996977025392987,-150,0.05033276647440537
hot_to_cold,3308,psar,0.05416431124787122,0.7373035066505441,0,0.03993553661836696
hot_to_cold,3308,linreg_slope,0.023955057108785732,0.748186215235792,100,0.01792284351397965
hot_to_cold,3308,linreg_intercept,0.012018775371598964,0.8712212817412334,100,0.010471012884204418
hot_to_cold,3308,ich_tenkan,0.009474513611759161,0.6535671100362757,-200,0.006192230480236791
hot_to_cold,3308,supertrend,0.010382929772994522,0.5108827085852479,-50,0.005304459285477854
hot_to_cold,3308,ich_senkou_a,0.00793097987010715,0.6571946795646917,-250,0.005212197774369089
hot_to_cold,3308,recency_weighted_freq,0.01133715355608264,0.4062877871825877,150,0.004606147031250021
hot_to_cold,3308,ich_senkou_b,0.006119064919607689,0.5441354292623942,-250,0.0033296000167151877
hot_to_cold,3308,ich_kijun,0.00597107365746858,0.4873035066505441,-250,0.002909725131753129
hot_to_cold,3308,access_rate,0.0020903034340679395,0.8458282950423216,-250,0.0017680377897587951
migration,267,rwi_high,1.0403686964829049,1.0,0,1.0403686964829049
migration,267,vhf,0.9460516636215742,1.0,0,0.9460516636215742
migration,267,stc_signal,0.6414600095217466,1.0,50,0.6414600095217466
migration,267,supertrend_dir,0.45378580415127534,1.0,100,0.45378580415127534
migration,267,inter_access_variance_ms2,0.2552729092303637,1.0,0,0.2552729092303637
migration,267,sqn,1.2586951727827584,0.18352059925093633,0,0.23099649238335268
migration,267,si,1.0088748528075058,0.18352059925093633,0,0.18514931755643366
migration,267,aroon_up,0.6316877212724031,0.18352059925093633,0,0.11592770914736987
migration,267,aroon_osc,0.6306890872835347,0.18352059925093633,0,0.11574443923930038
migration,267,stc,0.6152114830090761,0.18352059925093633,0,0.11290398002788289
migration,267,gapo,0.521459213167953,0.18352059925093633,0,0.09569850728550448
migration,267,trix,1.4643479263970098,0.06367041198501873,0,0.09323563576310549
migration,267,inter_access_interval_ms,1.1411097362602391,0.06741573033707865,-50,0.07692874626473523
migration,267,psar_dir,0.41458686360980157,0.1797752808988764,100,0.07453246986243624
migration,267,rwi_low,0.3629995990581042,0.18352059925093633,100,0.0666179039469929
migration,267,ravi,0.34712005339304786,0.18352059925093633,150,0.06370368021070916
migration,267,asi,0.2994098562592976,0.18352059925093633,0,0.054947876242343006
migration,267,heat_score,0.26683129579726295,0.18352059925093633,0,0.04896903930361755
migration,267,psar,0.015702067843292908,0.1797752808988764,150,0.002822843657221197
migration,267,linreg_slope,0.012453648343055283,0.18352059925093633,50,0.002285501006777936
migration,267,supertrend,0.010857302778392149,0.18352059925093633,100,0.001992538712139383
migration,267,ich_tenkan,0.010098145989227428,0.18352059925093633,50,0.001853217803266457
