event,n_events,signal,amplitude,consistency,lead_lag_ms,score
hot_to_cold,96,random_walk_index_low,3.5890426700549716,1.0,0.0,3.5890426700549716
hot_to_cold,96,linear_reg_slope,2.963757923025259,1.0,286.179236,2.963757923025259
hot_to_cold,96,range_action_verification_index,2.8967789701735995,1.0,429.26885400000003,2.8967789701735995
hot_to_cold,96,avg_directional_index,2.776157089412502,1.0,429.26885400000003,2.776157089412502
hot_to_cold,96,inter_access_variance_ms2,2.724471458413971,0.8854166666666666,0.0,2.41229243713737
hot_to_cold,96,swing_index,2.39663506789121,0.9166666666666666,0.0,2.1969154789002756
hot_to_cold,96,aroon_oscillator,1.8679372356408868,0.9270833333333334,0.0,1.7317334788754055
hot_to_cold,96,aroon_down,1.72039322867118,1.0,0.0,1.72039322867118
hot_to_cold,96,accum_swing_index,1.7072438859079389,1.0,0.0,1.7072438859079389
hot_to_cold,96,schaff_trend_cycle_signal,1.6681054764781027,1.0,143.089618,1.6681054764781027
hot_to_cold,96,schaff_trend_cycle,1.6150156213794375,1.0,0.0,1.6150156213794375
hot_to_cold,96,random_walk_index_high,1.4529195614832557,1.0,-143.089618,1.4529195614832557
hot_to_cold,96,system_quality_number,1.4453465588334504,1.0,0.0,1.4453465588334504
hot_to_cold,96,vertical_horizontal_filter,1.2742032656566384,1.0,0.0,1.2742032656566384
hot_to_cold,96,recency_weighted_frequency,1.0517009509738362,1.0,286.179236,1.0517009509738362
hot_to_cold,96,supertrend_direction,1.402722606874981,0.7395833333333334,0.0,1.0374302613346214
hot_to_cold,96,plus_directional_indicator,0.9572266502728605,1.0,0.0,0.9572266502728605
hot_to_cold,96,ichimoku_tenkan,0.9506751481976029,1.0,0.0,0.9506751481976029
hot_to_cold,96,supertrend,0.9307853569462317,0.9791666666666666,143.089618,0.9113939953431851
hot_to_cold,96,minus_directional_indicator,0.9057095265986344,1.0,0.0,0.9057095265986344
hot_to_cold,96,ichimoku_senkou_a,0.8434761954185309,1.0,0.0,0.8434761954185309
hot_to_cold,96,parabolic_sar_direction,1.2354424325782682,0.6770833333333334,0.0,0.8364974803915358
hot_to_cold,96,ichimoku_kijun,0.733466263208878,1.0,0.0,0.733466263208878
hot_to_cold,96,ichimoku_senkou_b,0.6687075477764942,1.0,0.0,0.6687075477764942
hot_to_cold,96,linear_reg_intercept,0.6215867810061599,1.0,286.179236,0.6215867810061599
hot_to_cold,96,triple_exp_rate_of_change,0.5240049185944343,1.0,429.26885400000003,0.5240049185944343
hot_to_cold,96,parabolic_sar,0.49109633120308605,0.6770833333333334,0.0,0.33251314091875617
hot_to_cold,96,aroon_up,0.3548504286111068,0.7083333333333334,572.358472,0.2513523869328673
hot_to_cold,96,heat_score,0.22268738144917877,1.0,286.179236,0.22268738144917877
hot_to_cold,96,gopalakrishnan_range_index,0.1255639837974556,1.0,0.0,0.1255639837974556
hot_to_cold,96,access_rate,0.05845336599800821,1.0,286.179236,0.05845336599800821
hot_to_cold,96,inter_access_interval_ms,7.727051367045767e-05,0.65625,-143.089618,5.070877459623785e-05
