event,n_events,signal,amplitude,consistency,lead_lag_ms,score
cold_to_hot,8,triple_exp_rate_of_change,8.784412472479367,0.875,-269.19858899999997,7.686360913419446
cold_to_hot,8,inter_access_interval_ms,4.292840167777828,0.75,-448.664315,3.219630125833371
cold_to_hot,8,random_walk_index_high,1.9018466559121898,1.0,-358.931452,1.9018466559121898
cold_to_hot,8,swing_index,1.8323053401075158,1.0,-179.465726,1.8323053401075158
cold_to_hot,8,inter_access_variance_ms2,2.032134518681941,0.75,179.465726,1.5241008890114558
cold_to_hot,8,linear_reg_slope,1.6401781758209633,0.875,-448.664315,1.4351559038433428
cold_to_hot,8,parabolic_sar_direction,1.1394139845209175,1.0,-448.664315,1.1394139845209175
cold_to_hot,8,parabolic_sar,0.9025343971962205,1.0,-448.664315,0.9025343971962205
cold_to_hot,8,aroon_up,1.162329132188991,0.75,-448.664315,0.8717468491417433
cold_to_hot,8,random_walk_index_low,0.8114536062277238,1.0,-448.664315,0.8114536062277238
cold_to_hot,8,aroon_oscillator,0.9370612484144839,0.75,-448.664315,0.7027959363108629
cold_to_hot,8,vertical_horizontal_filter,1.2926194126498483,0.5,-448.664315,0.6463097063249241
cold_to_hot,8,gopalakrishnan_range_index,1.226736112381792,0.5,-448.664315,0.613368056190896
cold_to_hot,8,interval_access_rate,0.651226675150916,0.75,-358.931452,0.48842000636318705
cold_to_hot,8,ichimoku_chikou,0.651226675150916,0.75,-358.931452,0.48842000636318705
cold_to_hot,8,accum_swing_index,0.4672959412713771,0.75,-358.931452,0.3504719559535328
cold_to_hot,8,ichimoku_senkou_b,0.5773588100629805,0.5,-448.664315,0.28867940503149025
cold_to_hot,8,schaff_trend_cycle,0.5448333325247599,0.5,-448.664315,0.2724166662623799
cold_to_hot,8,schaff_trend_cycle_signal,0.4443215305067124,0.5,-448.664315,0.2221607652533562
cold_to_hot,8,linear_reg_intercept,0.28081416338856446,0.75,-358.931452,0.21061062254142335
cold_to_hot,8,ichimoku_senkou_a,0.3208199706576683,0.625,-448.664315,0.20051248166104269
cold_to_hot,8,recency_weighted_frequency,0.19955764246176722,1.0,-448.664315,0.19955764246176722
cold_to_hot,8,range_action_verification_index,0.30015821247275204,0.625,179.465726,0.18759888279547002
cold_to_hot,8,system_quality_number,0.2341407828955087,0.75,-358.931452,0.17560558717163152
cold_to_hot,8,ichimoku_kijun,0.32792475010156963,0.5,-448.664315,0.16396237505078481
cold_to_hot,8,ichimoku_tenkan,0.29341784430398843,0.5,-448.664315,0.14670892215199421
cold_to_hot,8,minus_directional_indicator,0.27923713019617796,0.5,179.465726,0.13961856509808898
cold_to_hot,8,plus_directional_indicator,0.30363055733635635,0.375,179.465726,0.11386145900113363
cold_to_hot,8,heat_score,0.07722187299786398,1.0,-358.931452,0.07722187299786398
cold_to_hot,8,aroon_down,0.15463374910152106,0.375,-89.732863,0.057987655913070396
cold_to_hot,8,access_rate,0.0355778511841231,1.0,-448.664315,0.0355778511841231
cold_to_hot,8,supertrend_direction,0.16148618531404024,0.125,-448.664315,0.02018577316425503
cold_to_hot,8,avg_directional_index,0.049161444570360535,0.375,89.732863,0.0184355417138852
cold_to_hot,8,supertrend,0.14660834871887551,0.125,-448.664315,0.01832604358985944
hot_to_cold,416,random_walk_index_low,1.9662416963855454,0.9951923076923077,89.732863,1.9567886113067687
hot_to_cold,416,range_action_verification_index,1.7634327629167723,0.9975961538461539,269.19858899999997,1.7591937418520684
hot_to_cold,416,ichimoku_chikou,1.6148773301340533,1.0,0.0,1.6148773301340533
hot_to_cold,416,interval_access_rate,1.6148773301340533,1.0,0.0,1.6148773301340533
hot_to_cold,416,accum_swing_index,1.25304921318523,1.0,0.0,1.25304921318523
hot_to_cold,416,random_walk_index_high,1.192046645037098,1.0,-89.732863,1.192046645037098
hot_to_cold,416,swing_index,1.3313356577911946,0.8629807692307693,-89.732863,1.1489170700649973
